asset_id,site_id,building_id,asset_name,asset_type,install_date,last_service_date,condition_rating,is_active
1,1,2.0,Main Switchboard #2,ELECTRICAL,2015-06-14,2020-03-18,POOR,True
2,1,1.0,Air Conditioning Unit,HVAC,2007-08-15,2012-05-03,POOR,True
3,1,1.0,3D Printer,MACHINERY,2012-07-05,2014-09-25,CRITICAL,True
4,1,,Leaf Blower #2,GROUNDS_EQUIPMENT,2022-08-14,2024-10-09,CRITICAL,False
5,1,3.0,CNC Router,MACHINERY,2006-11-17,2008-09-21,GOOD,True
6,1,,Main Bus Stop,BUS_STOP,2007-06-27,2010-05-01,GOOD,True
7,1,2.0,Workshop Lathe,MACHINERY,2010-05-30,2011-11-27,GOOD,True
8,1,,Drop-off Zone #1,CAR_PARK,2019-05-07,2019-12-24,FAIR,True
9,1,,Ride-on Mower,VEHICLE,2008-02-10,2009-11-09,FAIR,True
10,1,,Perimeter Fence - North,FENCING,2005-01-27,2009-04-07,FAIR,True
11,2,,Secondary Bus Stop #4,BUS_STOP,2012-05-14,2014-02-13,GOOD,True
12,2,6.0,Boiler #3,HVAC,2019-04-02,2023-08-11,POOR,True
13,2,,School Van #4,VEHICLE,2021-05-13,2021-12-19,FAIR,True
14,2,,Hall Roof #4,ROOFING,2012-05-08,2015-07-09,FAIR,True
15,2,6.0,3D Printer #4,MACHINERY,2021-11-27,2024-12-19,FAIR,True
16,2,,Kiss and Ride Zone,BUS_STOP,2017-05-12,2018-12-18,GOOD,True
17,2,,Gym Roof,ROOFING,2011-06-14,2015-11-23,FAIR,True
18,2,7.0,CNC Router #4,MACHINERY,2011-06-17,2013-05-24,CRITICAL,False
19,2,,Hall Roof,ROOFING,2008-08-05,2013-05-14,POOR,True
20,2,,Perimeter Fence - South,FENCING,2010-08-04,2014-02-14,FAIR,True
21,2,,Visitor Car Park #3,CAR_PARK,2018-04-14,2022-01-30,FAIR,True
22,2,,Secondary Bus Stop,BUS_STOP,2005-09-30,2009-03-03,POOR,True
23,2,,Visitor Car Park #2,CAR_PARK,2014-01-15,2014-09-12,POOR,True
24,2,,Main Bus Stop,BUS_STOP,2016-08-07,2019-03-10,GOOD,True
25,2,5.0,Heat Pump Unit #2,HVAC,2008-12-25,2013-11-01,FAIR,True
26,2,,School Van,VEHICLE,2005-09-20,2008-03-24,FAIR,True
27,2,,Gym Roof #1,ROOFING,2022-01-24,2022-12-30,FAIR,True
28,2,,Senior Playground,PLAYGROUND,2019-02-03,2022-05-13,FAIR,True
29,2,,Gym Roof #4,ROOFING,2016-05-03,2020-08-20,CRITICAL,True
30,3,12.0,Drill Press,MACHINERY,2020-05-09,2021-12-05,GOOD,True
31,3,10.0,Band Saw,MACHINERY,2008-11-23,2009-07-10,CRITICAL,False
32,3,12.0,Air Conditioning Unit #1,HVAC,2017-05-15,2021-05-01,FAIR,True
33,3,17.0,3D Printer,MACHINERY,2012-06-22,2014-07-30,GOOD,True
34,3,13.0,Main Switchboard,ELECTRICAL,2014-03-01,2015-12-15,FAIR,True
35,3,,Chainsaw #4,GROUNDS_EQUIPMENT,2022-06-01,2023-05-08,GOOD,True
36,3,17.0,EV Charger #2,ELECTRICAL,2013-10-15,2017-04-14,GOOD,True
37,3,,Tennis Court #3,SPORTS_EQUIPMENT,2012-12-14,2016-05-22,FAIR,True
38,3,,Adventure Playground,PLAYGROUND,2007-10-30,2011-02-21,CRITICAL,False
39,3,15.0,Ventilation System,HVAC,2012-11-18,2017-02-22,GOOD,True
40,3,,Staff Car Park #2,CAR_PARK,2020-11-29,2021-09-18,GOOD,True
41,3,,Leaf Blower #4,GROUNDS_EQUIPMENT,2006-10-05,2008-06-08,POOR,True
42,3,13.0,Air Conditioning Unit,HVAC,2011-01-08,2012-09-03,GOOD,True
43,3,,Main Block Roof,ROOFING,2013-06-26,2016-03-26,CRITICAL,True
44,3,,Sports Field Fence,FENCING,2020-06-22,2020-11-16,GOOD,True
45,3,12.0,Ventilation System,HVAC,2014-06-22,2016-04-07,FAIR,True
46,3,11.0,EV Charger,ELECTRICAL,2009-01-30,2010-04-13,FAIR,True
47,3,,Drop-off Zone #4,CAR_PARK,2012-06-12,2016-10-14,POOR,True
