building_id,site_id,building_name,building_type,year_built,floor_area_sqm,num_floors,condition_rating,last_assessed_date
1,1,Science Block,CLASSROOM,1997,379,1,FAIR,2024-03-25
2,1,Administration Building,ADMIN,1956,444,2,POOR,2023-07-15
3,1,Sports Amenities,TOILET_BLOCK,1987,146,1,FAIR,2022-06-19
4,2,Junior Block,CLASSROOM,1982,387,1,FAIR,2024-05-17
5,2,Administration Building,ADMIN,2012,670,1,POOR,2023-02-10
6,2,Staff Facilities,TOILET_BLOCK,1975,100,1,POOR,2024-10-13
7,2,Changing Rooms,SPORTS_PAVILION,2006,619,1,FAIR,2020-12-16
8,2,Sports Hall,GYM,1953,459,1,FAIR,2024-07-18
9,2,Sports Store,STORAGE,1976,97,1,GOOD,2024-06-17
10,3,Senior Block,CLASSROOM,2018,377,1,FAIR,2024-02-07
11,3,Administration Building,ADMIN,1972,625,2,POOR,2024-02-24
12,3,Senior Toilets,TOILET_BLOCK,2015,266,1,FAIR,2023-02-20
13,3,Equipment Store,STORAGE,2010,35,1,GOOD,2023-12-05
14,3,Performing Arts Centre,HALL,2006,548,1,POOR,2023-06-23
15,3,Sports Pavilion,SPORTS_PAVILION,1983,429,1,GOOD,2022-10-20
16,3,School Library,LIBRARY,1958,379,2,FAIR,2024-03-19
17,3,Wood Workshop,WORKSHOP,1955,623,2,FAIR,2023-02-16
18,3,Main Gymnasium,GYM,1990,646,1,GOOD,2021-09-17
19,4,Block C,CLASSROOM,1970,356,2,GOOD,2024-03-16
20,4,Staff Block,ADMIN,1954,691,1,GOOD,2022-02-20
21,4,Staff Facilities,TOILET_BLOCK,1959,467,1,POOR,2024-11-27
22,4,Sports Pavilion,SPORTS_PAVILION,1979,354,1,POOR,2021-08-01
23,5,Arts Block,CLASSROOM,1986,753,1,FAIR,2022-06-11
24,5,Main Office,ADMIN,1962,335,1,FAIR,2021-06-26
25,5,Staff Facilities,TOILET_BLOCK,1976,769,1,GOOD,2020-06-06
26,5,Sports Hall,GYM,2020,324,2,FAIR,2022-04-03
27,5,Cricket Pavilion,SPORTS_PAVILION,2005,776,1,POOR,2021-04-15
28,5,Performing Arts Centre,HALL,2007,387,2,GOOD,2021-05-05
29,5,Metal Workshop,WORKSHOP,2015,145,1,GOOD,2023-07-22
30,5,Grounds Shed,STORAGE,2009,66,1,GOOD,2022-04-13
31,6,Science Block,CLASSROOM,1998,374,1,FAIR,2023-02-03
32,6,Administration Building,ADMIN,1997,521,1,FAIR,2023-11-17
33,6,Junior Toilets,TOILET_BLOCK,1963,420,1,GOOD,2023-04-04
34,6,Equipment Store,STORAGE,1999,28,1,FAIR,2023-11-29
35,6,Main Gymnasium,GYM,1971,743,2,GOOD,2022-11-11
36,7,Science Block,CLASSROOM,1954,112,1,FAIR,2022-05-25
37,7,Main Office,ADMIN,2018,170,2,FAIR,2023-12-24
38,7,Senior Toilets,TOILET_BLOCK,2019,298,1,FAIR,2024-03-09
39,7,Sports Hall,GYM,1970,66,1,POOR,2024-01-27
40,7,Learning Centre,LIBRARY,1960,276,2,GOOD,2023-04-13
41,7,Wood Workshop,WORKSHOP,1958,260,1,FAIR,2023-04-01
42,7,Changing Rooms,SPORTS_PAVILION,2006,290,1,POOR,2020-07-12
43,8,Technology Block,CLASSROOM,2020,287,1,GOOD,2024-09-11
44,8,Main Office,ADMIN,1987,729,1,POOR,2020-11-21
45,8,Junior Toilets,TOILET_BLOCK,1988,83,1,FAIR,2024-10-10
46,8,Changing Rooms,SPORTS_PAVILION,1961,718,1,FAIR,2024-03-02
47,8,Maintenance Shed,STORAGE,1966,91,1,FAIR,2022-04-25
48,8,Main Gymnasium,GYM,1951,629,1,GOOD,2023-04-05
49,8,Performing Arts Centre,HALL,1956,602,2,GOOD,2020-01-10
50,8,Food Technology,WORKSHOP,2019,230,1,POOR,2020-08-08
51,9,Block D,CLASSROOM,2022,633,1,FAIR,2024-10-15
52,9,Main Office,ADMIN,1960,750,1,GOOD,2021-05-17
53,9,Junior Toilets,TOILET_BLOCK,1951,558,1,GOOD,2021-06-17
54,9,School Hall,HALL,2017,570,2,GOOD,2022-11-12
55,9,Food Technology,WORKSHOP,2008,68,2,FAIR,2024-01-26
56,9,Main Gymnasium,GYM,1981,142,2,GOOD,2024-07-27
57,9,Changing Rooms,SPORTS_PAVILION,1971,149,1,FAIR,2022-05-29
58,9,School Library,LIBRARY,2019,440,1,POOR,2022-06-17
59,10,Junior Block,CLASSROOM,1990,161,2,GOOD,2023-07-25
60,10,Administration Building,ADMIN,2004,364,1,FAIR,2024-10-05
61,10,Junior Toilets,TOILET_BLOCK,2018,603,1,FAIR,2023-12-18
62,11,Technology Block,CLASSROOM,1951,547,1,POOR,2021-03-26
63,11,Staff Block,ADMIN,1983,224,1,FAIR,2022-08-13
64,11,Sports Amenities,TOILET_BLOCK,2013,615,1,FAIR,2022-12-21
65,11,Equipment Store,STORAGE,1977,94,1,FAIR,2022-02-05
