contractor_id,company_name,service_type,region,certification_expiry,is_active,safety_rating
1,Pinnacle It Maintenance Co,IT_SERVICES,Wellington Region,2025-01-23,True,B
2,Summit Grounds Maintenance Co,GROUNDS,Tasman Region,2025-08-04,True,B
3,Premier Painting Holdings,PAINTING,Nelson Region,2025-08-22,True,B
4,Sterling It Works,IT_SERVICES,Manawatū-Whanganui Region,2024-12-08,True,C
5,Alpine Painting Property Services,PAINTING,Northland Region,2024-11-07,True,C
6,Pacific Grounds Services Ltd,GROUNDS,Hawke's Bay Region,2025-05-26,True,B
7,Southern Electrical Holdings,ELECTRICAL,Auckland Region,2024-05-11,True,A
8,Kiwi Electrical Maintenance Co,ELECTRICAL,Gisborne Region,2025-05-27,True,D
9,Summit Cleaning Solutions NZ,CLEANING,Northland Region,2024-01-14,True,A
10,Regional Cleaning Works,CLEANING,Otago Region,2024-09-18,True,A
11,Horizon Building Contractors,BUILDING_MAINTENANCE,Southland Region,2025-11-26,True,C
12,Summit It Contractors,IT_SERVICES,Southland Region,2024-11-14,True,C
13,Reliable Cleaning Group,CLEANING,Hawke's Bay Region,2024-12-21,True,B
14,Summit Roofing Solutions NZ,ROOFING,Hawke's Bay Region,2024-10-06,True,A
15,Regional Security Enterprises,SECURITY,Nelson Region,2024-09-13,True,B
16,Kiwi Electrical Enterprises,ELECTRICAL,Northland Region,2025-03-30,True,A
17,Precision Plumbing Technical Services,PLUMBING,Waikato Region,2024-02-01,True,A
18,Metro Security Maintenance Co,SECURITY,Manawatū-Whanganui Region,2024-09-22,True,B
19,Southern Roofing Works,ROOFING,Waikato Region,2024-05-01,True,C
20,Coastal Building Holdings,BUILDING_MAINTENANCE,Gisborne Region,2025-10-27,True,B
21,Precision Grounds Contractors,GROUNDS,Waikato Region,2025-05-05,True,A
22,Aotearoa Plumbing Contractors,PLUMBING,Auckland Region,2024-08-02,True,B
23,Southern Hvac Services Ltd,HVAC,Canterbury Region,2024-04-22,True,B
24,Aotearoa Roofing Solutions NZ,ROOFING,Bay of Plenty Region,2024-03-29,True,B
25,Pacific Hvac Enterprises,HVAC,Waikato Region,2025-11-08,True,B
26,Kiwi Grounds Solutions NZ,GROUNDS,West Coast Region,2024-08-06,True,B
27,Apex Plumbing Contractors,PLUMBING,Marlborough Region,2025-07-27,False,B
28,Regional Security Holdings,SECURITY,Bay of Plenty Region,2025-01-06,True,D
29,Regional Plumbing Technical Services,PLUMBING,Bay of Plenty Region,2025-09-18,True,C
30,Metro Hvac Solutions NZ,HVAC,Canterbury Region,2025-08-22,True,C
31,Reliable Electrical Technical Services,ELECTRICAL,Manawatū-Whanganui Region,2024-12-26,True,B
32,Pinnacle Plumbing Maintenance Co,PLUMBING,Manawatū-Whanganui Region,2025-05-18,True,C
33,Pacific Grounds Enterprises,GROUNDS,Hawke's Bay Region,2024-08-01,True,B
34,Alpine Roofing Group,ROOFING,Auckland Region,2025-03-22,True,B
35,Alpine Roofing Works,ROOFING,Canterbury Region,2024-11-30,False,B
36,Sterling Electrical Maintenance Co,ELECTRICAL,Southland Region,2025-03-28,True,B
37,Elite Grounds Services Ltd,GROUNDS,Otago Region,2025-09-09,True,A
38,Metro Painting Enterprises,PAINTING,Waikato Region,2025-07-21,True,A
39,Summit Hvac Solutions NZ,HVAC,Waikato Region,2025-07-28,True,B
