hazard_id,site_id,building_id,asset_id,hazard_type,hazard_category,description,location_description,risk_level,status,identified_date,identified_by_assessment_id,identified_by_inspection_id,control_measures
1,1,,8.0,PHYSICAL,SLIP_TRIP_FALL,Algae growth on pathway near the northern boundary making surface slippery in wet conditions,School grounds,LOW,CONTROLLED,2020-03-04,1.0,,Controls applied as per action plan
2,1,3.0,,PHYSICAL,MACHINERY,Worn blade on grounds equipment stored in Sports Amenities,Sports Amenities,CRITICAL,CONTROLLED,2020-09-09,2.0,,Controls applied as per action plan
3,1,1.0,,CHEMICAL,SLIP_TRIP_FALL,Algae growth on pathway near Science Block making surface slippery in wet conditions,Science Block,CRITICAL,ELIMINATED,2021-03-04,3.0,,Controls applied as per action plan
4,1,,,PHYSICAL,TRAFFIC,No speed limit signage in school grounds,School grounds,CRITICAL,MONITORING,2021-03-04,3.0,,Controls applied as per action plan
5,1,3.0,,ELECTRICAL,SLIP_TRIP_FALL,Algae growth on pathway near Sports Amenities making surface slippery in wet conditions,Sports Amenities,LOW,MONITORING,2021-03-04,3.0,,Controls applied as per action plan
6,1,,,ENVIRONMENTAL,ASBESTOS,Suspected ACM in ceiling tiles of the sports field perimeter (pre-1990 construction),School grounds,LOW,ELIMINATED,2021-03-04,3.0,,Controls applied as per action plan
7,1,1.0,,ELECTRICAL,SLIP_TRIP_FALL,Uneven paving stones near Science Block creating trip hazard,Science Block,MEDIUM,ELIMINATED,2022-09-19,6.0,,Controls applied as per action plan
8,1,3.0,,PHYSICAL,TREES,Large tree root lifting pathway surface,Sports Amenities,MEDIUM,CONTROLLED,2023-03-12,7.0,,Controls applied as per action plan
9,1,2.0,,ELECTRICAL,PLAYGROUND,Worn impact-absorbing surface below climbing frame,Administration Building,LOW,ELIMINATED,2023-03-12,7.0,,Controls applied as per action plan
10,1,,1.0,PHYSICAL,ASBESTOS,Suspected ACM in ceiling tiles of near the car park (pre-1990 construction),School grounds,CRITICAL,ELIMINATED,2023-09-04,8.0,,Controls applied as per action plan
11,1,,,CHEMICAL,HEIGHTS,Unprotected mezzanine edge in near the car park,School grounds,HIGH,ELIMINATED,2023-09-04,8.0,,Controls applied as per action plan
12,1,,5.0,ENVIRONMENTAL,FALLING_OBJECTS,Unsecured items stored at height in the sports field perimeter,School grounds,CRITICAL,ELIMINATED,2023-09-04,8.0,,Controls applied as per action plan
13,1,,,STRUCTURAL,HEIGHTS,Inadequate ladder storage and inspection regime,School grounds,LOW,ELIMINATED,2024-03-23,9.0,,Controls applied as per action plan
14,1,3.0,,ENVIRONMENTAL,MACHINERY,Worn blade on grounds equipment stored in Sports Amenities,Sports Amenities,MEDIUM,OPEN,2024-03-23,9.0,,
15,1,,2.0,ENVIRONMENTAL,HEIGHTS,Unprotected mezzanine edge in near the car park,School grounds,LOW,OPEN,2024-03-23,9.0,,
16,1,,,STRUCTURAL,HEIGHTS,No edge protection on the main entrance roof access,School grounds,MEDIUM,CONTROLLED,2025-03-06,11.0,,Controls applied as per action plan
17,1,2.0,,PHYSICAL,FALLING_OBJECTS,Unsecured items stored at height in Administration Building,Administration Building,LOW,OPEN,2025-03-06,11.0,,
18,1,,1.0,PHYSICAL,SLIP_TRIP_FALL,Algae growth on pathway near near the car park making surface slippery in wet conditions,School grounds,HIGH,MONITORING,2020-02-23,,1.0,Controls applied as per action plan
19,1,,,PHYSICAL,WEATHER,Ice formation on north-facing pathways in winter,School grounds,LOW,ELIMINATED,2020-02-23,,1.0,Controls applied as per action plan
20,1,,,PHYSICAL,WATER,Standing water creating mosquito breeding ground,School grounds,LOW,MONITORING,2020-04-22,,2.0,Controls applied as per action plan
21,1,2.0,,PHYSICAL,ASBESTOS,Asbestos register requires update for recent renovations,Administration Building,MEDIUM,ELIMINATED,2020-04-22,,2.0,Controls applied as per action plan
22,1,3.0,,ELECTRICAL,TRAFFIC,No speed limit signage in school grounds,Sports Amenities,LOW,MONITORING,2021-11-25,,3.0,Controls applied as per action plan
23,1,,,ENVIRONMENTAL,PLAYGROUND,Rusted bolt on swing frame,School grounds,MEDIUM,CONTROLLED,2021-11-25,,3.0,Controls applied as per action plan
24,1,,,ENVIRONMENTAL,ELECTRICAL,Damaged power point cover in the northern boundary,School grounds,LOW,MONITORING,2021-11-15,,5.0,Controls applied as per action plan
25,1,1.0,,ENVIRONMENTAL,SLIP_TRIP_FALL,Algae growth on pathway near Science Block making surface slippery in wet conditions,Science Block,MEDIUM,ELIMINATED,2022-06-09,,6.0,Controls applied as per action plan
26,1,,,ERGONOMIC,SLIP_TRIP_FALL,Algae growth on pathway near adjacent to the playground making surface slippery in wet conditions,School grounds,HIGH,CONTROLLED,2022-02-16,,7.0,Controls applied as per action plan
27,1,1.0,,ENVIRONMENTAL,ELECTRICAL,Damaged power point cover in Science Block,Science Block,LOW,ELIMINATED,2022-02-16,,7.0,Controls applied as per action plan
28,1,2.0,,STRUCTURAL,SLIP_TRIP_FALL,Algae growth on pathway near Administration Building making surface slippery in wet conditions,Administration Building,MEDIUM,MONITORING,2022-02-16,,7.0,Controls applied as per action plan
29,1,,,ELECTRICAL,TRAFFIC,Poor visibility at car park exit due to vegetation,School grounds,MEDIUM,ELIMINATED,2024-04-26,,9.0,Controls applied as per action plan
30,2,4.0,,PHYSICAL,PLAYGROUND,Worn impact-absorbing surface below climbing frame,Junior Block,MEDIUM,CONTROLLED,2020-03-26,12.0,,Controls applied as per action plan
31,2,,,PHYSICAL,SLIP_TRIP_FALL,Algae growth on pathway near the sports field perimeter making surface slippery in wet conditions,School grounds,LOW,CONTROLLED,2020-03-26,12.0,,Controls applied as per action plan
32,2,6.0,,PHYSICAL,SLIP_TRIP_FALL,Algae growth on pathway near Staff Facilities making surface slippery in wet conditions,Staff Facilities,MEDIUM,ELIMINATED,2020-03-26,12.0,,Controls applied as per action plan
33,2,,,PHYSICAL,WEATHER,Ponding water near the northern boundary after rainfall,School grounds,MEDIUM,OPEN,2020-03-26,12.0,,
34,2,,,ENVIRONMENTAL,FALLING_OBJECTS,Unsecured items stored at height in adjacent to the playground,School grounds,MEDIUM,ELIMINATED,2020-09-07,13.0,,Controls applied as per action plan
35,2,7.0,,ENVIRONMENTAL,WEATHER,Ice formation on north-facing pathways in winter,Changing Rooms,LOW,ELIMINATED,2020-09-07,13.0,,Controls applied as per action plan
36,2,5.0,,STRUCTURAL,FALLING_OBJECTS,Unsecured items stored at height in Administration Building,Administration Building,MEDIUM,MONITORING,2020-09-07,13.0,,Controls applied as per action plan
37,2,,18.0,ENVIRONMENTAL,ELECTRICAL,Damaged power point cover in adjacent to the playground,School grounds,MEDIUM,CONTROLLED,2020-09-07,13.0,,Controls applied as per action plan
38,2,4.0,,BIOLOGICAL,TREES,Dead branch overhanging walkway near Junior Block,Junior Block,MEDIUM,CONTROLLED,2022-03-17,16.0,,Controls applied as per action plan
39,2,,,ELECTRICAL,ASBESTOS,Suspected ACM in ceiling tiles of near the car park (pre-1990 construction),School grounds,MEDIUM,CONTROLLED,2022-03-17,16.0,,Controls applied as per action plan
40,2,,,ELECTRICAL,SLIP_TRIP_FALL,Algae growth on pathway near the northern boundary making surface slippery in wet conditions,School grounds,MEDIUM,ELIMINATED,2022-03-17,16.0,,Controls applied as per action plan
41,2,,,ENVIRONMENTAL,HEIGHTS,Unprotected mezzanine edge in the sports field perimeter,School grounds,LOW,ELIMINATED,2023-03-06,18.0,,Controls applied as per action plan
42,2,,12.0,ENVIRONMENTAL,SLIP_TRIP_FALL,Uneven paving stones near the sports field perimeter creating trip hazard,School grounds,LOW,OPEN,2023-09-21,19.0,,
43,2,,,ENVIRONMENTAL,SLIP_TRIP_FALL,Worn carpet edge in the main entrance creating trip point,School grounds,MEDIUM,CONTROLLED,2024-03-13,20.0,,Controls applied as per action plan
44,2,8.0,,ENVIRONMENTAL,WEATHER,Ponding water near Sports Hall after rainfall,Sports Hall,HIGH,MONITORING,2024-03-13,20.0,,Controls applied as per action plan
45,2,,18.0,PHYSICAL,ELECTRICAL,Damaged power point cover in near the car park,School grounds,MEDIUM,OPEN,2024-09-12,21.0,,
46,2,,21.0,STRUCTURAL,FALLING_OBJECTS,Unsecured items stored at height in the northern boundary,School grounds,HIGH,CONTROLLED,2024-09-12,21.0,,Controls applied as per action plan
47,2,,,STRUCTURAL,FALLING_OBJECTS,Loose guttering on the sports field perimeter at risk of falling in high winds,School grounds,LOW,OPEN,2024-09-12,21.0,,
48,2,,,ELECTRICAL,PLAYGROUND,Rusted bolt on swing frame,School grounds,LOW,CONTROLLED,2025-03-23,22.0,,Controls applied as per action plan
