School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Donations,Gender of Students,KME Peak Body,Takiwā,Territorial Authority,Regional Council,Local Office,Education Region,General Electorate,Māori Electorate,Neighbourhood (SA2 code),Neighbourhood (SA2),Ward,Latitude,Longitude,Enrolment Scheme,Equity Index (EQI),Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International,Isolation Index,Language of Instruction,Boarding Facilities,Cohort Entry,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Te Kura o Te Kao,09-4097813,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road ,,Te Kao,6603 Far North Road RD 4,,Kaitaia,0484,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,100100,North Cape,Te Hiku General Ward,-34.654712,172.965948,No,533,88,8,87,5,2,0,0,0,3.83,All students taught in te reo Māori,No,No,Open
2,Taipa Area School,09-4060159,office@taipa.school.nz,Lisa White,http://www.taipa.school.nz,578 State Highway 10 ,,Taipa,578 State Highway 10,,Taipa,0420,Rural settlement,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101101,Doubtless Bay,Te Hiku General Ward,-34.994709,173.464302,Yes,530,421,139,328,28,11,1,0,0,2.69,Some students taught in te reo Māori,No,No,Open
3,Kaitaia College,09-4080190,admin@kaitaiacollege.school.nz,Louise Anaru-Tangira,http://www.kaitaiacollege.school.nz/,53 Redan Road ,,Kaitaia,PO Box 265,,Kaitaia,0441,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,100800,Kaitāia West,Te Hiku General Ward,-35.121322,173.258700,No,522,732,309,563,80,28,4,23,0,2.55,Some students taught in te reo Māori,No,No,Open
4,Whangaroa College,09-4050199,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10 ,,Kaeo,PO Box 126,,Kaeo,0448,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101900,Kāeo,Bay of Islands-Whangaroa General Ward,-35.100861,173.786950,No,540,100,26,95,6,2,0,0,0,2.13,All students taught in English/other setting,No,No,Open
5,Kerikeri High School,09-4078916,enquiries@kerikerihigh.ac.nz,Mike Clent,http://www.kerikerihigh.ac.nz,48 Hone Heke Road ,,Kerikeri,PO Box 92,,Kerikeri,0245,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103000,Kerikeri Central,Bay of Islands-Whangaroa General Ward,-35.228354,173.955389,Yes,463,1640,1181,516,74,94,29,13,86,1.67,All students taught in English/other setting,No,No,Open
6,Broadwood Area School,09-4095878,admin@broadwood.school.nz,Danelle Tatana,http://broadwood.school.nz,1041 Broadwood Road ,,Broadwood,PO Box 12,,Broadwood,0462,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101700,Kohukohu-Broadwood,Kaikohe-Hokianga General Ward,-35.261248,173.394990,No,558,126,30,120,18,0,0,0,0,2.61,All students taught in English/other setting,No,No,Open
7,Okaihau College,09-4019030,admin@okaihau-college.school.nz,Thomas Davison,http://www.okaihau-college.school.nz,58 Settlers Way ,,Okaihau,58 Settlers Way RD 1,,Okaihau,0475,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102300,Ōkaihau,Kaikohe-Hokianga General Ward,-35.323759,173.765764,Yes,516,263,83,204,32,7,1,2,0,1.83,All students taught in English/other setting,No,No,Open
8,Bay of Islands College,09-4041055,info@boic.school.nz,Edith Painting-Davis,http://www.boic.school.nz,1-9 Derrick Road ,,Kawakawa,PO Box 58,,Kawakawa,0243,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104600,Kawakawa,Bay of Islands-Whangaroa General Ward,-35.379502,174.075901,Yes,530,486,102,414,32,10,3,3,0,1.50,Some students taught in te reo Māori,No,No,Open
9,Northland College,09-4013200,admin@northlandcollege.school.nz,Duane Allen,http://www.northlandcollege.school.nz,62 Mangakahia Road ,,Kaikohe,PO Box 261,,Kaikohe,0440,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103501,Kaikohe,Kaikohe-Hokianga General Ward,-35.413889,173.809917,No,552,309,43,280,38,5,0,1,0,1.82,All students taught in English/other setting,No,No,Open
10,Te Kura Taumata o Panguru,09-4095701,,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road ,,Panguru,2178 West Coast Road RD 2,,Kohukohu,0492,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101600,Hokianga North,Kaikohe-Hokianga General Ward,-35.380527,173.383068,No,542,112,12,112,6,0,1,0,0,3.11,Some students taught in te reo Māori,No,No,Open
11,Opononi Area School,09-4058500,anitaw@opononi.school.nz,Rosina Wikaira,,263 State Highway 12 ,Omapere,Kaikohe,Private Bag 759,,Kaikohe,0440,Rural settlement,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102900,Waipoua Forest,Kaikohe-Hokianga General Ward,-35.528555,173.390212,No,537,170,41,158,16,11,0,2,0,2.80,All students taught in English/other setting,No,No,Open
12,Tauraroa Area School,09-4322643,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road ,,Maungakaramea,PO Box 36,,Maungakaramea,0146,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,107800,Oakleigh-Mangapai,Bream Bay General Ward,-35.873069,174.218169,No,477,432,389,129,12,21,4,5,2,0.95,All students taught in English/other setting,No,No,Open
13,Te Kamo High School,09-4351688,admin@kamohigh.school.nz,Natasha Hemara,http://www.kamohigh.school.nz/,1 Wilkinson Avenue ,Kamo,Whangarei,PO Box 4137,Kamo,Whangarei,0141,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106000,Kamo Central,Whangārei Urban General Ward,-35.684394,174.302813,Yes,508,799,549,445,99,54,9,4,9,0.71,All students taught in English/other setting,No,No,Open
14,Tikipunga High School,09-4373299,sec@tikihigh.school.nz,Emma Leyland,https://tikipungahigh.school.nz/,194 Corks Road ,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,0144,Large urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106201,Tikipunga North,Whangārei Urban General Ward,-35.683559,174.328317,No,560,359,86,313,39,8,5,1,0,0.70,All students taught in English/other setting,No,No,Open
15,Whangārei Boys' High School,09-4304170,enquiries@wbhs.school.nz,Alec Solomon,http://www.wbhs.school.nz,245 Western Hills Drive ,Avenues,Whangarei,PO Box 5034,,Whangarei,0140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Boys School,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.716116,174.318379,Yes,474,1442,1039,625,134,128,19,16,3,0.60,All students taught in English/other setting,No,No,Open
16,Whangārei Girls' High School,09-4304460,office@wghs.school.nz,Sonya Lockyer,http://www.wghs.school.nz,1 Lupton Avenue ,Regent,Whangarei,PO Box 5056,,Whangarei,0140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Girls School,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.713289,174.319550,Yes,471,1522,1161,621,120,142,22,33,22,0.60,All students taught in English/other setting,Yes,No,Open
17,Pompallier Catholic College,09-4383950,admin@pompallier.school.nz,Hayden Kingdon,http://www.pompallier.school.nz/,State Highway 14 ,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,0143,Large urban area,Secondary (Year 7-15),,State : Integrated,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106901,Maunu,Mangakahia-Maungatapere General Ward,-35.744864,174.275713,No,424,650,397,117,36,172,17,5,9,0.67,All students taught in English/other setting,No,No,Open
18,Mangakahia Area School,09-4331702,admin@mangakahia.school.nz,Rachel Clothier-Simmonds,http://www.mangakahia.school.nz,1480 Mangakahia Road ,Titoki,Whangarei,Private Bag,Titoki,Whangarei,0140,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104800,Mangakahia-Hūkerenui,Mangakahia-Maungatapere General Ward,-35.732278,174.058779,No,560,80,36,69,9,0,0,0,0,1.06,All students taught in English/other setting,No,No,Open
19,Dargaville High School,09-4397229,office@darghigh.school.nz,Curtis Gaylor,http://www.dargavillehighschool.co.nz,Plunket Street ,,Dargaville,Plunket Street,,Dargaville,0310,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109301,Dargaville,Wairoa General Ward,-35.931691,173.868056,No,515,405,218,213,63,30,3,0,0,1.58,All students taught in English/other setting,No,No,Open
20,Bream Bay College,09-4328226,admin@breambaycollege.school.nz,Julian Cosgrove,http://www.breambaycollege.school.nz/,2 Peter Snell Road ,,Ruakaka,PO Box 111,,Ruakaka,0151,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,108800,Ruakākā,Bream Bay General Ward,-35.876079,174.455784,Yes,482,618,431,252,55,43,15,6,3,0.98,Some students taught in te reo Māori,No,No,Open
21,Otamatea High School,09-4318230,ohs@otamatea.school.nz,Todd Malcolm,http://www.otamatea.school.nz,Bickerstaffe Road ,,Maungaturoto,PO Box 64,,Maungaturoto,0547,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109600,Maungatūroto,Otamatea General Ward,-36.117231,174.365259,Yes,480,573,473,200,27,43,12,2,0,1.38,All students taught in English/other setting,No,No,Open
