action_id,site_id,hazard_id,assessment_id,inspection_id,assigned_to_person_id,action_description,priority,due_date,completed_date,status,created_date,notes
1,1,1.0,1.0,,3,Engage contractor for specialist repair,MEDIUM,2020-04-27,,IN_PROGRESS,2020-03-04,
2,1,6.0,3.0,,4,Engage contractor for specialist repair,MEDIUM,2021-04-26,2021-04-08,COMPLETED,2021-03-04,
3,1,9.0,7.0,,2,Install guard rail or barrier,LOW,2023-06-04,,OVERDUE,2023-03-12,
4,1,9.0,7.0,,1,Remove or trim vegetation creating hazard,HIGH,2023-04-11,,OVERDUE,2023-03-12,
5,1,9.0,7.0,,2,Apply anti-slip treatment to surface,HIGH,2023-04-08,2023-03-29,COMPLETED,2023-03-12,
6,1,12.0,8.0,,1,Improve lighting in affected area,MEDIUM,2023-11-05,2023-10-24,COMPLETED,2023-09-04,
7,1,12.0,8.0,,2,Engage contractor for specialist repair,CRITICAL,2023-09-13,,OVERDUE,2023-09-04,
8,1,12.0,8.0,,2,Remove or trim vegetation creating hazard,MEDIUM,2023-11-04,,IN_PROGRESS,2023-09-04,
9,1,15.0,9.0,,4,Remove or trim vegetation creating hazard,LOW,2024-06-14,2024-06-09,COMPLETED,2024-03-23,
10,1,15.0,9.0,,2,Remove or trim vegetation creating hazard,MEDIUM,2024-05-25,2024-05-22,COMPLETED,2024-03-23,
11,1,15.0,9.0,,2,Install additional safety signage,HIGH,2024-04-24,2024-04-20,COMPLETED,2024-03-23,
12,1,15.0,9.0,,3,Conduct staff training on updated procedure,HIGH,2024-04-25,2024-04-19,COMPLETED,2024-03-23,
13,1,15.0,10.0,,4,Update emergency procedures documentation,MEDIUM,2024-11-14,2024-11-09,COMPLETED,2024-09-12,
14,1,17.0,11.0,,1,Engage contractor for specialist repair,LOW,2025-06-04,2025-05-24,COMPLETED,2025-03-06,
15,1,17.0,11.0,,3,Update emergency procedures documentation,HIGH,2025-03-30,2025-03-28,COMPLETED,2025-03-06,
16,1,19.0,,1.0,1,Improve lighting in affected area,HIGH,2020-03-23,,IN_PROGRESS,2020-02-23,
17,1,21.0,,2.0,2,Install guard rail or barrier,HIGH,2020-05-27,2020-05-19,COMPLETED,2020-04-22,
18,1,21.0,,2.0,2,Install additional safety signage,HIGH,2020-05-21,2020-05-18,COMPLETED,2020-04-22,
19,1,29.0,,9.0,2,Repair or replace damaged infrastructure,HIGH,2024-05-25,2024-05-17,COMPLETED,2024-04-26,
20,2,33.0,12.0,,8,Apply anti-slip treatment to surface,MEDIUM,2020-05-25,,OVERDUE,2020-03-26,
21,2,33.0,12.0,,5,Repair or replace damaged infrastructure,MEDIUM,2020-05-31,2020-05-16,COMPLETED,2020-03-26,
22,2,33.0,12.0,,5,Review and update risk register,HIGH,2020-04-21,2020-04-11,COMPLETED,2020-03-26,
23,2,33.0,12.0,,7,Replace worn equipment,MEDIUM,2020-05-28,2020-05-12,COMPLETED,2020-03-26,
24,2,33.0,12.0,,6,Review and update risk register,LOW,2020-06-17,2020-06-02,COMPLETED,2020-03-26,
25,2,37.0,13.0,,8,Install guard rail or barrier,HIGH,2020-10-08,2020-10-02,COMPLETED,2020-09-07,
26,2,37.0,13.0,,7,Schedule professional inspection,MEDIUM,2020-11-03,2020-10-18,COMPLETED,2020-09-07,
27,2,40.0,16.0,,7,Engage contractor for specialist repair,HIGH,2022-04-16,2022-04-09,COMPLETED,2022-03-17,
28,2,40.0,16.0,,5,Review and update risk register,MEDIUM,2022-05-09,,IN_PROGRESS,2022-03-17,
29,2,44.0,20.0,,5,Update emergency procedures documentation,HIGH,2024-04-16,2024-04-12,COMPLETED,2024-03-13,
30,2,54.0,,13.0,8,Install additional safety signage,LOW,2021-11-05,2021-10-11,COMPLETED,2021-08-08,
31,2,54.0,,13.0,5,Schedule professional inspection,LOW,2021-11-10,,OVERDUE,2021-08-08,
32,2,60.0,,17.0,7,Repair or replace damaged infrastructure,MEDIUM,2023-06-28,,OVERDUE,2023-04-24,
33,2,62.0,,18.0,5,Schedule professional inspection,MEDIUM,2023-07-07,2023-06-25,COMPLETED,2023-05-03,
34,2,65.0,,19.0,8,Schedule professional inspection,MEDIUM,2023-07-26,2023-06-29,COMPLETED,2023-06-02,
35,2,65.0,,19.0,7,Engage contractor for specialist repair,MEDIUM,2023-07-25,,OVERDUE,2023-06-02,
36,2,65.0,,19.0,6,Repair or replace damaged infrastructure,HIGH,2023-06-25,2023-06-12,COMPLETED,2023-06-02,
37,2,73.0,,22.0,6,Engage contractor for specialist repair,MEDIUM,2024-09-04,2024-08-30,COMPLETED,2024-07-13,
38,2,73.0,,22.0,6,Remove or trim vegetation creating hazard,HIGH,2024-08-15,2024-08-15,COMPLETED,2024-07-13,
39,3,75.0,23.0,,11,Improve lighting in affected area,MEDIUM,2020-05-28,,IN_PROGRESS,2020-03-23,
40,3,75.0,23.0,,9,Install additional safety signage,HIGH,2020-04-20,2020-04-06,COMPLETED,2020-03-23,
41,3,79.0,24.0,,9,Apply anti-slip treatment to surface,MEDIUM,2020-11-11,,IN_PROGRESS,2020-09-07,
42,3,79.0,24.0,,10,Review and update risk register,HIGH,2020-10-11,2020-10-06,COMPLETED,2020-09-07,
43,3,79.0,24.0,,10,Improve lighting in affected area,HIGH,2020-10-10,2020-10-07,COMPLETED,2020-09-07,
44,3,79.0,24.0,,11,Engage contractor for specialist repair,CRITICAL,2020-09-14,2020-09-08,COMPLETED,2020-09-07,
45,3,79.0,24.0,,10,Install additional safety signage,MEDIUM,2020-11-10,2020-11-02,COMPLETED,2020-09-07,
46,3,83.0,25.0,,10,Review and update risk register,LOW,2021-06-16,2021-06-07,COMPLETED,2021-03-14,
47,3,87.0,26.0,,11,Engage contractor for specialist repair,MEDIUM,2021-11-27,,OVERDUE,2021-09-26,
48,3,87.0,27.0,,11,Install guard rail or barrier,CRITICAL,2022-03-26,2022-03-20,COMPLETED,2022-03-08,
49,3,87.0,28.0,,10,Install additional safety signage,MEDIUM,2022-11-10,2022-10-21,COMPLETED,2022-09-14,
50,3,88.0,29.0,,10,Install additional safety signage,MEDIUM,2023-04-30,,OVERDUE,2023-03-03,
51,3,92.0,31.0,,9,Install additional safety signage,HIGH,2024-04-02,2024-03-19,COMPLETED,2024-03-04,
52,3,92.0,31.0,,10,Schedule professional inspection,LOW,2024-05-30,2024-05-14,COMPLETED,2024-03-04,
53,3,92.0,31.0,,9,Update emergency procedures documentation,MEDIUM,2024-05-07,2024-05-05,COMPLETED,2024-03-04,
54,3,92.0,31.0,,11,Remove or trim vegetation creating hazard,LOW,2024-05-28,2024-05-09,COMPLETED,2024-03-04,
55,3,93.0,32.0,,11,Review and update risk register,MEDIUM,2024-11-29,,IN_PROGRESS,2024-09-24,
56,3,96.0,33.0,,9,Replace worn equipment,HIGH,2025-04-21,2025-04-16,COMPLETED,2025-03-21,
