site_id,site_name,street_address,suburb,town_city,postal_code,latitude,longitude,location,region,territorial_authority,education_region,urban_rural,school_type,school_definition,authority,total_roll,equity_index,status
1,Te Kura o Te Kao,6603 Far North Road ,,Te Kao,484.0,-34.654712,172.965948,POINT(172.965948 -34.654712),Northland Region,Far North District,Tai Tokerau,Rural other,Composite,,State,88,533,Open
2,Taipa Area School,578 State Highway 10 ,,Taipa,420.0,-34.994709,173.464302,POINT(173.464302 -34.994709),Northland Region,Far North District,Tai Tokerau,Rural settlement,Composite,,State,421,530,Open
3,Kaitaia College,53 Redan Road ,,Kaitaia,441.0,-35.121322,173.2587,POINT(173.2587 -35.121322),Northland Region,Far North District,Tai Tokerau,Small urban area,Secondary (Year 9-15),,State,732,522,Open
4,Whangaroa College,4157 State Highway 10 ,,Kaeo,448.0,-35.100861,173.78695,POINT(173.78695 -35.100861),Northland Region,Far North District,Tai Tokerau,Rural settlement,Secondary (Year 7-15),,State,100,540,Open
5,Kerikeri High School,48 Hone Heke Road ,,Kerikeri,245.0,-35.228354,173.955389,POINT(173.955389 -35.228354),Northland Region,Far North District,Tai Tokerau,Small urban area,Secondary (Year 7-15),,State,1640,463,Open
6,Broadwood Area School,1041 Broadwood Road ,,Broadwood,462.0,-35.261248,173.39499,POINT(173.39499 -35.261248),Northland Region,Far North District,Tai Tokerau,Rural other,Composite,,State,126,558,Open
7,Okaihau College,58 Settlers Way ,,Okaihau,475.0,-35.323759,173.765764,POINT(173.765764 -35.323759),Northland Region,Far North District,Tai Tokerau,Rural settlement,Secondary (Year 7-15),,State,263,516,Open
8,Bay of Islands College,1-9 Derrick Road ,,Kawakawa,243.0,-35.379502,174.075901,POINT(174.075901 -35.379502),Northland Region,Far North District,Tai Tokerau,Small urban area,Secondary (Year 9-15),,State,486,530,Open
9,Northland College,62 Mangakahia Road ,,Kaikohe,440.0,-35.413889,173.809917,POINT(173.809917 -35.413889),Northland Region,Far North District,Tai Tokerau,Small urban area,Secondary (Year 9-15),,State,309,552,Open
10,Te Kura Taumata o Panguru,2178 West Coast Road ,,Panguru,492.0,-35.380527,173.383068,POINT(173.383068 -35.380527),Northland Region,Far North District,Tai Tokerau,Rural other,Composite,,State,112,542,Open
11,Opononi Area School,263 State Highway 12 ,Omapere,Kaikohe,440.0,-35.528555,173.390212,POINT(173.390212 -35.528555),Northland Region,Far North District,Tai Tokerau,Rural settlement,Composite,,State,170,537,Open
12,Tauraroa Area School,398 Tauraroa Road ,,Maungakaramea,146.0,-35.873069,174.218169,POINT(174.218169 -35.873069),Northland Region,Whangarei District,Tai Tokerau,Rural other,Composite,,State,432,477,Open
13,Te Kamo High School,1 Wilkinson Avenue ,Kamo,Whangarei,141.0,-35.684394,174.302813,POINT(174.302813 -35.684394),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Secondary (Year 9-15),,State,799,508,Open
14,Tikipunga High School,194 Corks Road ,Tikipunga,Whangarei,144.0,-35.683559,174.328317,POINT(174.328317 -35.683559),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Secondary (Year 7-15),,State,359,560,Open
15,Whangārei Boys' High School,245 Western Hills Drive ,Avenues,Whangarei,140.0,-35.716116,174.318379,POINT(174.318379 -35.716116),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Secondary (Year 9-15),,State,1442,474,Open
16,Whangārei Girls' High School,1 Lupton Avenue ,Regent,Whangarei,140.0,-35.713289,174.31955,POINT(174.31955 -35.713289),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Secondary (Year 9-15),,State,1522,471,Open
17,Pompallier Catholic College,State Highway 14 ,Maunu,Whangarei,143.0,-35.744864,174.275713,POINT(174.275713 -35.744864),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Secondary (Year 7-15),,State : Integrated,650,424,Open
18,Mangakahia Area School,1480 Mangakahia Road ,Titoki,Whangarei,140.0,-35.732278,174.058779,POINT(174.058779 -35.732278),Northland Region,Whangarei District,Tai Tokerau,Rural other,Composite,,State,80,560,Open
19,Dargaville High School,Plunket Street ,,Dargaville,310.0,-35.931691,173.868056,POINT(173.868056 -35.931691),Northland Region,Kaipara District,Tai Tokerau,Small urban area,Secondary (Year 9-15),,State,405,515,Open
20,Bream Bay College,2 Peter Snell Road ,,Ruakaka,151.0,-35.876079,174.455784,POINT(174.455784 -35.876079),Northland Region,Whangarei District,Tai Tokerau,Small urban area,Secondary (Year 7-15),,State,618,482,Open
21,Otamatea High School,Bickerstaffe Road ,,Maungaturoto,547.0,-36.117231,174.365259,POINT(174.365259 -36.117231),Northland Region,Kaipara District,Tai Tokerau,Rural other,Secondary (Year 7-15),,State,573,480,Open
22,Ruawai College,4375 State Highway 12 ,,Ruawai,549.0,-36.122571,174.011673,POINT(174.011673 -36.122571),Northland Region,Kaipara District,Tai Tokerau,Rural other,Secondary (Year 7-15),,State,145,526,Open
23,Rodney College,287 Rodney Street ,,Wellsford,900.0,-36.28816,174.520831,POINT(174.520831 -36.28816),Auckland Region,Rodney Local Board Area,Tāmaki Herenga Tāngata,Small urban area,Secondary (Year 9-15),,State,368,489,Open
24,Mahurangi College,Woodcocks Road ,,Warkworth,941.0,-36.406517,174.655544,POINT(174.655544 -36.406517),Auckland Region,Rodney Local Board Area,Tāmaki Herenga Tāngata,Small urban area,Secondary (Year 7-15),,State,1581,441,Open
25,Orewa College,76 Riverside Road ,,Orewa,946.0,-36.591698,174.689747,POINT(174.689747 -36.591698),Auckland Region,Hibiscus and Bays Local Board Area,Tāmaki Herenga Tāngata,Large urban area,Secondary (Year 7-15),,State,2282,432,Open
26,Kaipara College,Rautawhiri Road ,,Helensville,800.0,-36.680156,174.459138,POINT(174.459138 -36.680156),Auckland Region,Rodney Local Board Area,Tāmaki Herenga Tāngata,Small urban area,Secondary (Year 9-15),,State,721,460,Open
27,Long Bay College,Ashley Avenue ,Torbay,Auckland,742.0,-36.691395,174.738757,POINT(174.738757 -36.691395),Auckland Region,Hibiscus and Bays Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1960,422,Open
28,Rangitoto College,564 East Coast Road ,Browns Bay,Auckland,753.0,-36.737197,174.736684,POINT(174.736684 -36.737197),Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,4167,397,Open
29,Kristin School,360 Albany Highway ,Albany,Auckland,752.0,-36.742989,174.692243,POINT(174.692243 -36.742989),Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Composite,,Private : Fully Registered,1743,0,Open
30,Glenfield College,60 Kaipatiki Road ,Glenfield,Auckland,747.0,-36.779801,174.714953,POINT(174.714953 -36.779801),Auckland Region,Kaipātiki Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,768,466,Open
31,Birkenhead College,140 Birkdale Road ,Birkenhead,Auckland,746.0,-36.799175,174.701151,POINT(174.701151 -36.799175),Auckland Region,Kaipātiki Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,475,464,Open
32,Northcote College,Kauri Glen Road ,Northcote,Auckland,627.0,-36.808881,174.733677,POINT(174.733677 -36.808881),Auckland Region,Kaipātiki Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1603,428,Open
35,Carmel College,108 Shakespeare Road ,Milford,Auckland,741.0,-36.779176,174.756742,POINT(174.756742 -36.779176),Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 7-15),,State : Integrated,1100,382,Open
36,Takapuna Grammar School,210 Lake Road ,Takapuna,Auckland,740.0,-36.800616,174.788477,POINT(174.788477 -36.800616),Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,2265,393,Open
37,Westlake Boys High School,Forrest Hill Road ,Takapuna,Auckland,620.0,-36.777366,174.749491,POINT(174.749491 -36.777366),Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,2773,399,Open
38,Westlake Girls' High School,2 Wairau Road ,Takapuna,Auckland,627.0,-36.782458,174.752309,POINT(174.752309 -36.782458),Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,2289,403,Open
39,Rosmini College,36 Dominion Street ,Takapuna,Auckland,622.0,-36.792443,174.760146,POINT(174.760146 -36.792443),Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 7-15),,State : Integrated,1208,387,Open
