site_contractor_id,site_id,contractor_id,contract_start_date,contract_end_date,is_active
1,1,95,2021-10-21,,True
2,1,147,2022-08-20,,True
3,1,124,2020-10-08,,True
4,1,113,2021-11-17,,True
5,1,91,2022-01-18,,True
6,2,48,2020-05-06,,True
7,2,143,2020-10-29,,True
8,2,9,2020-08-05,,True
9,2,137,2021-08-24,,True
10,3,95,2022-12-16,,True
11,3,1,2021-08-19,,True
12,3,91,2022-07-18,,True
13,3,56,2020-10-19,2022-09-22,False
14,4,63,2022-07-14,,True
15,4,56,2022-11-26,,True
16,4,9,2020-02-21,,True
17,4,5,2021-08-04,,True
18,5,48,2020-08-29,,True
19,5,37,2022-04-04,,True
20,5,16,2020-04-06,,True
21,5,95,2022-02-11,,True
22,6,137,2023-01-22,,True
23,6,47,2020-08-29,,True
24,6,91,2021-12-21,,True
25,6,9,2021-02-05,,True
26,7,48,2022-01-19,,True
27,7,95,2021-12-23,,True
28,7,91,2023-01-14,,True
29,7,5,2020-01-18,,True
30,7,16,2021-06-19,,True
31,8,95,2020-08-22,2023-05-06,False
32,8,98,2021-11-20,,True
33,8,5,2021-12-13,,True
34,8,27,2021-07-02,,True
35,8,16,2020-05-08,,True
36,9,5,2021-07-20,,True
37,9,48,2020-09-26,,True
38,9,68,2022-04-11,,True
39,10,27,2021-08-06,,True
40,10,91,2021-01-19,,True
41,10,137,2020-12-23,,True
42,10,68,2023-03-19,,True
43,10,95,2022-09-26,,True
44,11,48,2023-03-20,,True
45,11,5,2020-01-20,,True
46,11,56,2023-03-01,,True
47,12,95,2021-10-16,,True
48,12,87,2023-04-06,,True
49,12,91,2021-05-05,2023-06-06,False
50,13,56,2022-06-27,,True
51,13,68,2023-02-07,,True
52,13,95,2020-08-07,,True
53,14,16,2021-01-06,2022-09-26,False
54,14,48,2020-09-10,,True
55,14,68,2021-08-23,,True
56,14,5,2021-05-23,,True
57,14,95,2021-07-13,,True
58,15,31,2022-02-27,,True
59,15,95,2022-06-02,,True
60,15,70,2021-12-31,,True
61,15,56,2020-04-12,,True
62,15,137,2020-02-20,2023-01-22,False
63,16,16,2020-01-15,,True
64,16,5,2021-01-14,,True
65,16,56,2022-12-25,2024-08-10,False
66,17,87,2020-02-17,,True
67,17,48,2020-12-15,,True
68,17,24,2020-03-31,,True
69,17,109,2020-07-29,2023-02-20,False
70,18,5,2021-09-02,,True
71,18,55,2021-02-11,,True
72,18,48,2022-04-16,2025-02-21,False
73,18,16,2021-01-25,,True
74,18,57,2022-05-09,,True
75,19,85,2021-10-17,,True
76,19,98,2020-08-14,,True
77,19,56,2023-02-05,,True
78,20,32,2020-01-22,,True
79,20,57,2021-12-23,,True
80,20,143,2022-10-15,,True
81,21,48,2022-09-29,,True
82,21,5,2023-01-21,,True
83,21,88,2020-06-20,,True
84,21,143,2022-04-06,,True
85,21,38,2021-07-27,,True
86,21,91,2020-08-20,,True
87,22,56,2021-06-01,2023-01-20,False
88,22,48,2020-12-09,,True
89,22,16,2020-08-29,,True
90,22,5,2020-09-16,,True
91,23,61,2021-05-31,,True
